행정구역,2023년10월_계_총인구수,2023년10월_계_연령구간인구수,2023년10월_계_0~9세,2023년10월_계_10~19세,2023년10월_계_20~29세,2023년10월_계_30~39세,2023년10월_계_40~49세,2023년10월_계_50~59세,2023년10월_계_60~69세,2023년10월_계_70~79세,2023년10월_계_80~89세,2023년10월_계_90~99세,2023년10월_계_100세 이상
서울특별시 동대문구 답십리제2동(1123061000),27519,27519,1574,1733,3180,4229,3810,4584,4465,2519,1275,149,1
서울특별시 동대문구 장안제1동(1123065000),37492,37492,2119,2515,4914,5961,6135,5758,5605,3122,1221,135,7
서울특별시 동대문구 장안제2동(1123066000),32582,32582,2478,2858,3703,4722,5753,5013,4499,2461,970,121,4
서울특별시 동대문구 청량리동(1123070500),18767,18767,622,944,2230,2157,2185,3066,3791,2378,1207,184,3
서울특별시 동대문구 회기동(1123071000),10444,10444,316,732,3479,1451,1181,1219,964,636,410,54,2
서울특별시 동대문구 휘경제1동(1123072000),13742,13742,678,781,3684,2090,1622,1874,1508,942,494,67,2
서울특별시 동대문구 휘경제2동(1123073000),24320,24320,966,1916,5904,3025,3167,3528,3008,1844,858,101,3
서울특별시 동대문구 이문제1동(1123074000),17855,17855,570,1168,5173,2057,2009,2486,2095,1366,843,84,4
서울특별시 동대문구 이문제2동(1123075000),19453,19453,1003,1591,2689,2320,2779,3318,2881,1874,902,95,1
서울특별시 중랑구 (1126000000),382390,382390,19293,24062,50357,57630,53456,64553,63304,33077,14765,1834,59
서울특별시 중랑구 면목제2동(1126052000),23697,23697,960,1355,2928,3419,3263,4468,4125,2102,949,125,3
서울특별시 중랑구 면목제4동(1126054000),18231,18231,868,1105,2227,2470,2684,3187,2972,1877,762,76,3
서울특별시 중랑구 면목제5동(1126055000),14607,14607,1313,854,1512,2487,2398,2354,2132,1046,461,48,2
서울특별시 중랑구 면목본동(1126056500),32863,32863,1248,1623,4809,5346,4489,5850,5268,2840,1244,143,3
서울특별시 중랑구 면목제7동(1126057000),21222,21222,1030,1066,2731,3261,2863,3608,3707,2026,819,109,2
서울특별시 중랑구 면목제3.8동(1126057500),24505,24505,942,1238,3363,3574,3190,4371,4397,2307,1006,115,2
서울특별시 중랑구 상봉제1동(1126058000),23233,23233,1495,1748,2961,3393,3283,3961,3784,1720,793,94,1
서울특별시 중랑구 상봉제2동(1126059000),20375,20375,751,655,4130,4757,2455,2892,2697,1365,579,86,8
서울특별시 중랑구 중화제1동(1126060000),18811,18811,932,1174,2347,2998,2598,2998,3249,1738,709,66,2
서울특별시 중랑구 중화제2동(1126061000),23864,23864,869,990,3283,3618,3064,4256,4430,2156,1082,115,1
서울특별시 중랑구 묵제1동(1126062000),33748,33748,1768,2927,4721,4552,5172,5477,4963,2788,1239,137,4
서울특별시 중랑구 묵제2동(1126063000),18179,18179,803,1049,2436,2689,2588,3098,3049,1662,726,76,3
서울특별시 중랑구 망우본동(1126065500),35443,35443,2376,2050,4436,5811,4898,5498,5919,2930,1337,180,8
서울특별시 중랑구 망우제3동(1126066000),15763,15763,570,886,2021,1977,1986,3028,2979,1524,674,116,2
서울특별시 중랑구 신내1동(1126068000),38032,38032,2359,3855,4289,4565,5707,6189,6195,3145,1496,225,7
서울특별시 중랑구 신내2동(1126069000),19817,19817,1009,1487,2163,2713,2818,3318,3438,1851,889,123,8
서울특별시 성북구 (1129000000),426892,426892,24367,35360,65027,56286,63949,70665,58179,33492,17343,2167,57
서울특별시 성북구 성북동(1129052500),15967,15967,629,1068,2553,2504,2222,2708,2143,1224,778,133,5
서울특별시 성북구 삼선동(1129055500),22221,22221,806,1691,4178,3084,3016,3793,2838,1702,1001,106,6
서울특별시 성북구 동선동(1129057500),15043,15043,417,868,4668,2401,1784,1899,1452,932,549,71,2
서울특별시 성북구 돈암제1동(1129058000),14293,14293,672,1079,1864,1865,1847,2604,2336,1282,664,78,2
서울특별시 성북구 돈암제2동(1129059000),23449,23449,1651,2623,2708,2727,3912,4331,2976,1547,819,152,3
서울특별시 성북구 안암동(1129060000),14985,14985,367,759,5512,2032,1414,1916,1485,901,525,72,2
서울특별시 성북구 보문동(1129061000),16219,16219,972,992,2685,2812,2310,2661,2040,1132,544,69,2
서울특별시 성북구 정릉제1동(1129062000),17819,17819,1232,1644,2218,2354,2926,2868,2332,1411,745,88,1
서울특별시 성북구 정릉제2동(1129063000),22592,22592,1254,1610,3049,2982,3192,3829,3511,2003,1044,117,1
서울특별시 성북구 정릉제3동(1129064000),15017,15017,444,932,3407,1783,1579,2275,2247,1444,798,107,1
서울특별시 성북구 정릉제4동(1129065000),24136,24136,1222,1986,3075,2892,3619,4208,3677,2207,1107,139,4
서울특별시 성북구 길음제1동(1129066000),34856,34856,2969,4984,3412,3735,7273,5763,3447,2090,1063,117,3
서울특별시 성북구 길음제2동(1129068500),21755,21755,2037,2034,2507,2878,3874,3683,2642,1416,597,85,2
서울특별시 성북구 종암동(1129070500),37794,37794,2106,3440,5486,4581,5851,6292,5167,2918,1680,266,7
서울특별시 성북구 월곡제1동(1129071500),25639,25639,1616,2434,2836,3203,4180,4334,3707,2177,1051,96,5
서울특별시 성북구 월곡제2동(1129072500),18981,18981,810,1371,3500,2566,2516,2951,2716,1606,834,109,2
서울특별시 성북구 장위제1동(1129076000),23440,23440,1488,1744,3044,3170,3539,4098,3616,1808,836,95,2
서울특별시 성북구 장위제2동(1129077000),13208,13208,496,788,1778,1788,1658,2270,2263,1408,679,78,2
서울특별시 성북구 장위제3동(1129078000),15567,15567,1505,1301,1939,2281,2625,2519,1995,935,423,43,1
서울특별시 성북구 석관동(1129081000),33911,33911,1674,2012,4608,4648,4612,5663,5589,3349,1606,146,4
서울특별시 강북구 (1130500000),289372,289372,11811,19324,38620,35203,40184,50242,47972,29668,14740,1559,49
서울특별시 강북구 삼양동(1130553400),22493,22493,1005,1609,2833,2625,3075,4159,3788,2243,1052,101,3
서울특별시 강북구 미아동(1130553500),20929,20929,581,1161,3563,2705,2637,3530,3543,2043,1066,99,1
서울특별시 강북구 송중동(1130554500),28704,28704,1301,1867,3811,3783,4122,4949,4739,2746,1256,130,0
서울특별시 강북구 송천동(1130555500),24872,24872,744,1357,3042,2919,3185,4591,4744,2817,1332,135,6
서울특별시 강북구 삼각산동(1130557500),30646,30646,2275,3806,3279,3210,5712,5458,3649,2121,1025,106,5
서울특별시 강북구 번1동(1130559500),17718,17718,519,875,2937,2548,2555,2960,2732,1707,808,74,3
서울특별시 강북구 번2동(1130560300),14915,14915,477,860,1866,1585,1952,2526,2711,1921,923,91,3
서울특별시 강북구 번3동(1130560800),16377,16377,675,1115,1729,1605,2136,2747,2692,2392,1167,114,5
서울특별시 강북구 수유1동(1130561500),19966,19966,738,1228,2840,2654,2592,3346,3424,2030,979,132,3
서울특별시 강북구 수유2동(1130562500),20626,20626,858,1235,2621,2369,2746,3546,3641,2219,1248,140,3
서울특별시 강북구 수유3동(1130563500),23041,23041,617,1023,4259,3348,2930,3892,3674,2125,1072,97,4
서울특별시 강북구 우이동(1130564500),19895,19895,856,1247,2320,2400,2655,3538,3410,2122,1193,149,5
서울특별시 강북구 인수동(1130566000),29190,29190,1165,1941,3520,3452,3887,5000,5225,3182,1619,191,8
서울특별시 도봉구 (1132000000),307470,307470,14401,22547,37643,37765,42797,54038,53033,28821,14472,1890,63
서울특별시 도봉구 창제1동(1132051100),24089,24089,1147,1931,2973,3179,3591,4214,3740,2071,1089,148,6
서울특별시 도봉구 창제2동(1132051200),28214,28214,1383,2038,3746,3803,4124,4922,4428,2428,1199,140,3
서울특별시 도봉구 창제3동(1132051300),13259,13259,526,922,1509,1516,1930,2429,2335,1358,674,56,4
서울특별시 도봉구 창제4동(1132051400),26101,26101,1406,2348,3360,3295,3916,4739,4060,1827,972,176,2
서울특별시 도봉구 창제5동(1132051500),23928,23928,1198,1723,3207,3414,3191,4201,3927,1928,988,146,5
서울특별시 도봉구 도봉제1동(1132052100),20121,20121,615,1020,2160,2089,2526,3509,4010,2737,1304,142,9
서울특별시 도봉구 도봉제2동(1132052200),25965,25965,1406,1414,2709,3320,3407,4193,4906,3003,1413,188,6
서울특별시 도봉구 쌍문제1동(1132066000),20679,20679,904,1417,2748,2420,2774,3663,3462,2040,1126,122,3
서울특별시 도봉구 쌍문제2동(1132067000),17949,17949,797,1141,2170,2333,2485,3123,3186,1708,861,142,3
서울특별시 도봉구 쌍문제3동(1132068000),16503,16503,689,927,2412,2358,2252,2785,2634,1588,783,70,5
서울특별시 도봉구 쌍문제4동(1132068100),18117,18117,959,1807,2198,2144,2663,3208,3101,1259,673,104,1
서울특별시 도봉구 방학제1동(1132069000),27725,27725,1207,2044,3485,3069,3803,5072,4924,2736,1244,134,7
서울특별시 도봉구 방학제2동(1132070000),18649,18649,672,1252,2184,1967,2379,3529,3533,1978,1031,121,3
서울특별시 도봉구 방학제3동(1132071000),26171,26171,1492,2563,2782,2858,3756,4451,4787,2160,1115,201,6
서울특별시 노원구 (1135000000),499553,499553,26723,47639,66699,61079,75947,86245,73214,39481,19599,2844,83
서울특별시 노원구 월계1동(1135056000),20623,20623,899,1506,3627,2370,2864,3318,3085,1972,863,117,2
서울특별시 노원구 월계2동(1135057000),25586,25586,1376,1906,2776,2825,3792,4304,4509,2674,1220,199,5
